check-migration-immutability: 685 sealed entries against a journal of 685 — 0 newly appended, 17 comment-only edit(s)

CHANGED after sealing — the statements differ, so a cold build and a warm database disagree:
  1059_build_board_rank_sort_index  effective 3a0088bb6422 -> f591dad2af62
  1060_chat_reply_reminder_pending_index  effective 9745dcb1dea5 -> 2ecdc2778316
  1061_push_endpoint_cross_tenant_claim  effective ed792a279ddc -> 6a85df58a9aa

COMMENT-ONLY edits to already-sealed migrations (every database built from either version is identical; refresh with `pnpm check:migration-immutability:emit`):
  0296_hrms_org_departments
  0300_kb_chunk_content_hash
  0325_recon_membership_fk
  0351_automation_consolidation
  0628_communication_actor_normalization
  0630_restore_calendar_legacy_read_column
  0631_chat_composite_tenant_constraints
  0635_kb_composite_tenant_constraints
  0637_finance_cursor_retention
  0638_accounting_child_tenant_indexes
  0641_financial_actor_audit_identity
  0636_kb_source_review_tenant_constraints
  0690_build_ticket_activity_log_user_membership_id
  0692_build_ticket_comment_mentions_membership_id
  0694_build_ticket_related_links_created_by_membership_id
  0696_build_sprint_scope_events_actor_membership_id
  0698_build_workflow_transitions_created_by_membership_id

FAIL — 1 seal violation(s):
  • 266 sealed migration(s) changed their SQL
